run_id,model_name,source,layer,comparison,left_group,right_group,centroid_cosine,centroid_cosine_divergence,left_norm,right_norm,norm_delta
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,autodan,none,0.6998160481452942,0.3001839518547058,54.217796325683594,54.55216598510742,-0.3343696594238281
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,base64,direct_harmful,0.5658906698226929,0.43410933017730713,60.14956283569336,64.43401336669922,-4.284450531005859
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,base64,none,0.5589250922203064,0.4410749077796936,60.14956283569336,54.55216598510742,5.5973968505859375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,drattack,direct_harmful,0.5342737436294556,0.46572625637054443,66.34669494628906,64.43401336669922,1.9126815795898438
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,drattack,none,0.5798746943473816,0.4201253056526184,66.34669494628906,54.55216598510742,11.79452896118164
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,gcg,direct_harmful,0.6181609034538269,0.3818390965461731,48.80613327026367,64.43401336669922,-15.627880096435547
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,gcg,none,0.5625672936439514,0.4374327063560486,48.80613327026367,54.55216598510742,-5.74603271484375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,ijp,direct_harmful,0.7154386043548584,0.2845613956451416,47.13780212402344,64.43401336669922,-17.29621124267578
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,ijp,none,0.7264431118965149,0.2735568881034851,47.13780212402344,54.55216598510742,-7.414363861083984
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,pair,direct_harmful,0.7743062973022461,0.2256937026977539,60.02668762207031,64.43401336669922,-4.407325744628906
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,pair,none,0.7869188189506531,0.21308118104934692,60.02668762207031,54.55216598510742,5.474521636962891
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,puzzler,direct_harmful,0.4838067591190338,0.5161932408809662,67.06573486328125,64.43401336669922,2.6317214965820312
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,puzzler,none,0.4177657663822174,0.5822342336177826,67.06573486328125,54.55216598510742,12.513568878173828
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,saa,direct_harmful,0.24388240277767181,0.7561175972223282,76.0326919555664,64.43401336669922,11.598678588867188
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,saa,none,0.2217359095811844,0.7782640904188156,76.0326919555664,54.55216598510742,21.480525970458984
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_direct_harmful,zulu,direct_harmful,0.6755799055099487,0.32442009449005127,55.64760971069336,64.43401336669922,-8.78640365600586
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,18,attack_vs_harmless,zulu,none,0.5787241458892822,0.4212758541107178,55.64760971069336,54.55216598510742,1.0954437255859375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,label_1_vs_label_0,label_1,label_0,0.7613693475723267,0.23863065242767334,48.016544342041016,60.13534927368164,-12.118804931640625
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,direct_harmful_vs_harmless,direct_harmful,none,0.7393710613250732,0.26062893867492676,75.89846801757812,60.25103759765625,15.647430419921875
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,autodan,direct_harmful,0.7103387713432312,0.2896612286567688,60.477901458740234,75.89846801757812,-15.42056655883789
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,autodan,none,0.6948273777961731,0.3051726222038269,60.477901458740234,60.25103759765625,0.22686386108398438
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,base64,direct_harmful,0.5832772254943848,0.41672277450561523,65.03044128417969,75.89846801757812,-10.868026733398438
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,base64,none,0.5766137838363647,0.42338621616363525,65.03044128417969,60.25103759765625,4.7794036865234375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,drattack,direct_harmful,0.48279869556427,0.51720130443573,65.15164184570312,75.89846801757812,-10.746826171875
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,drattack,none,0.5684021711349487,0.43159782886505127,65.15164184570312,60.25103759765625,4.900604248046875
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,gcg,direct_harmful,0.6391342878341675,0.3608657121658325,54.548377990722656,75.89846801757812,-21.35009002685547
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,gcg,none,0.5745848417282104,0.42541515827178955,54.548377990722656,60.25103759765625,-5.702659606933594
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,ijp,direct_harmful,0.6824929118156433,0.3175070881843567,49.5857048034668,75.89846801757812,-26.312763214111328
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,ijp,none,0.7071717381477356,0.2928282618522644,49.5857048034668,60.25103759765625,-10.665332794189453
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,pair,direct_harmful,0.7523606419563293,0.24763935804367065,67.5765609741211,75.89846801757812,-8.321907043457031
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,pair,none,0.7786206603050232,0.2213793396949768,67.5765609741211,60.25103759765625,7.325523376464844
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,puzzler,direct_harmful,0.47549375891685486,0.5245062410831451,68.63224792480469,75.89846801757812,-7.2662200927734375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,puzzler,none,0.38886693120002747,0.6111330687999725,68.63224792480469,60.25103759765625,8.381210327148438
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,saa,direct_harmful,0.23393282294273376,0.7660671770572662,80.74842834472656,75.89846801757812,4.8499603271484375
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,saa,none,0.20700809359550476,0.7929919064044952,80.74842834472656,60.25103759765625,20.497390747070312
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_direct_harmful,zulu,direct_harmful,0.7105076313018799,0.2894923686981201,62.81678009033203,75.89846801757812,-13.081687927246094
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,19,attack_vs_harmless,zulu,none,0.5986083149909973,0.4013916850090027,62.81678009033203,60.25103759765625,2.5657424926757812
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,label_1_vs_label_0,label_1,label_0,0.7919277548789978,0.2080722451210022,60.56134796142578,73.50691223144531,-12.945564270019531
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,direct_harmful_vs_harmless,direct_harmful,none,0.7672662734985352,0.23273372650146484,87.43165588378906,73.70789337158203,13.723762512207031
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_direct_harmful,autodan,direct_harmful,0.7173094153404236,0.2826905846595764,75.04915618896484,87.43165588378906,-12.382499694824219
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_harmless,autodan,none,0.7299535870552063,0.2700464129447937,75.04915618896484,73.70789337158203,1.3412628173828125
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_direct_harmful,base64,direct_harmful,0.6098315119743347,0.3901684880256653,75.44924926757812,87.43165588378906,-11.982406616210938
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_harmless,base64,none,0.630340576171875,0.369659423828125,75.44924926757812,73.70789337158203,1.7413558959960938
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_direct_harmful,drattack,direct_harmful,0.5647428035736084,0.4352571964263916,86.3348159790039,87.43165588378906,-1.0968399047851562
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_harmless,drattack,none,0.6659995913505554,0.3340004086494446,86.3348159790039,73.70789337158203,12.626922607421875
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_direct_harmful,gcg,direct_harmful,0.6469921469688416,0.35300785303115845,65.82359313964844,87.43165588378906,-21.608062744140625
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_harmless,gcg,none,0.6072255969047546,0.39277440309524536,65.82359313964844,73.70789337158203,-7.884300231933594
jbshield-qwen-phase2-qwen2.5-7b,qwen2.5-7b,last_token,20,attack_vs_direct_harmful,ijp,direct_harmful,0.706745445728302,0.293254554271698,64.08695220947266,87.43165588378906,-23.344703674316406
